player,role,role_mantra,team,Prezzo_Consigliato_Cr,NN_FV_Atteso,NN_MV_Atteso,NN_Rischio_Std,Prob_Bonus_Ge_8_%,Prob_Picco_Ge_10_%,Clean_Sheet_%,FVM_1000,n_stagioni,mv_media_3y,mfv_media_3y,mv_storica,mfv_storica,mv_std,mv_trend,availability,gol_per_pg,ass_per_pg,amm_per_pg,rig_per_pg,n_seasons_us,xg_media_3y,xa_media_3y,xg_per90,xa_per90,npxg_per90,shots_per90,offensive_index,gf_avg_3y,giorni_infortunio_3y,n_infortuni_3y,infortunio_grave,malus_infortuni,starts_2627,sub_apps_2627,minutes_2627,is_starter_2627,starter_pct_2627,score_composito,score_composito_base,predicted_pts_p10,predicted_pts_p50,predicted_pts_p90,pts_volatility_spread,vorp_points,target_price_500,target_price_1000,clearing_price_1000,clearing_price_500,target_flags,prezzo_fair_1000,prezzo_fair_500,surplus_value_cr
Ramos G.,A,Pc,MIL,27,23.7,6.0,0.5,0.0,0.0,0.0,237,2.0,1.833,1.793,2.75,2.69,2.75,,0.105,,,,,,,,,,,,1.0464,2.419,116,6,1,0.751,2,0,180,True,1.0,0.2951,0.3326,71.2,183.1,262.3,191.1,50.7,24,213,225,113,no_prior_data;team_discount(MIL);clearing_observed(historical),213,24,-12
Lezzerini,P,Por,FIO,1,0.1,6.0,0.5,0.0,0.0,0.0,1,4.0,3.223,2.667,4.855,4.062,2.822,-1.958,0.079,,,,,,,,,,,,1.0124,2.045,140,4,1,0.844,0,2,0,False,0.0,0.292,0.3343,23.4,87.3,185.5,162.1,0.0,1,1,1,1,floor_qi,1,1,0
Liberali,C,T,COM,6,2.1,6.0,0.5,0.0,0.0,0.0,21,2.0,2.0,2.0,3.0,3.0,3.0,,0.026,,,,,,,,,,,,1.0068,1.982,0,0,0,0.0,0,2,19,False,0.0,0.2863,0.2863,30.4,103.9,195.7,165.3,0.0,6,21,5,2,thin_prior_sample_no_fade;clearing_observed(historical),21,6,16
Sherri,P,Por,CAG,1,0.1,6.0,0.5,0.0,0.0,0.0,1,2.0,1.953,1.43,2.93,2.145,2.93,,0.184,,,,,1.0,,0.023,0.0,0.003,0.0,0.0,0.9604,1.472,62,2,1,0.541,0,2,0,False,0.0,0.2769,0.3014,27.8,87.3,186.2,158.4,0.0,1,1,2,1,floor_qi;clearing_observed(historical),1,1,-1
Antov,D,Dc,MON,1,0.2,6.0,0.5,0.0,0.0,0.0,2,3.0,2.703,2.625,3.6,3.5,2.546,-2.69,0.132,,,,,1.0,,0.023,0.0,0.007,0.0,0.0,0.9337,1.178,177,2,1,0.988,0,2,0,False,0.0,0.2744,0.3222,30.1,95.6,187.9,157.8,0.0,1,2,2,1,floor_qi,2,1,0
Vigorito,P,Por,COM,1,0.1,6.0,0.5,0.0,0.0,0.0,1,3.0,0.983,0.667,1.967,1.333,2.781,-2.95,0.132,,,,,1.0,0.371,0.378,0.016,0.017,0.016,0.307,1.0068,1.982,0,0,0,0.0,0,2,0,False,0.0,0.2647,0.2647,23.4,87.3,185.5,162.1,0.0,1,1,2,1,floor_qi;clearing_observed(historical),1,1,-1
Diallo O.,C,W;A,PAR,3,1.2,6.0,0.5,0.0,0.0,0.0,12,2.0,2.333,3.333,3.5,5.0,3.5,,0.026,,,,,3.0,0.816,1.639,0.053,0.071,0.053,0.726,0.9545,1.408,223,5,1,1.0,0,2,15,False,0.0,0.2585,0.3041,30.4,103.9,195.7,165.3,0.0,3,12,2,1,no_prior_data;clearing_observed(historical),12,3,10
Contini,P,Por,NAP,1,0.1,6.0,0.5,0.0,0.0,0.0,1,7.0,1.0,1.0,0.857,0.857,2.1,0.2143,0.026,,,,,,,,,,,,1.0241,2.173,102,8,0,0.397,0,2,0,False,0.0,0.2367,0.2517,23.4,87.3,185.5,162.1,0.0,1,1,2,1,floor_qi;team_discount(NAP);clearing_observed(historical),1,1,-1
El Azzouzi A.,C,M;C,FRO,1,0.1,6.0,0.5,0.0,0.0,0.0,1,3.0,1.018,1.138,2.037,2.277,2.88,-3.055,0.237,,,,,1.0,0.472,0.957,0.082,0.166,0.082,0.346,0.9827,1.718,445,11,1,1.0,0,2,0,False,0.0,0.236,0.2776,31.2,103.9,196.4,165.2,0.0,1,1,1,1,floor_qi,1,1,0
Pinsoglio,P,Por,JUV,1,0.1,6.0,0.5,0.0,0.0,0.0,1,9.0,1.083,1.083,4.056,3.5,2.881,-0.7583,0.026,,,,,,,,,,,,1.0076,1.992,84,3,1,0.627,0,2,0,False,0.0,0.2306,0.2545,23.4,87.3,185.5,162.1,0.0,1,1,2,1,floor_qi;clearing_observed(historical),1,1,-1
Radunovic,P,Por,CAG,1,0.1,6.0,0.5,0.0,0.0,0.0,1,8.0,0.952,0.667,3.046,2.271,3.055,-0.4706,0.092,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.9604,1.472,104,2,1,0.704,0,2,0,False,0.0,0.2299,0.257,23.4,87.3,185.5,162.1,0.0,1,1,1,1,floor_qi,1,1,0
