player,role,role_mantra,team,Prezzo_Consigliato_Cr,NN_FV_Atteso,NN_MV_Atteso,NN_Rischio_Std,Prob_Bonus_Ge_8_%,Prob_Picco_Ge_10_%,Clean_Sheet_%,FVM_1000,n_stagioni,mv_media_3y,mfv_media_3y,mv_storica,mfv_storica,mv_std,mv_trend,availability,gol_per_pg,ass_per_pg,amm_per_pg,rig_per_pg,n_seasons_us,xg_media_3y,xa_media_3y,xg_per90,xa_per90,npxg_per90,shots_per90,offensive_index,gf_avg_3y,giorni_infortunio_3y,n_infortuni_3y,infortunio_grave,malus_infortuni,starts_2627,sub_apps_2627,minutes_2627,is_starter_2627,starter_pct_2627,score_composito,score_composito_base,predicted_pts_p10,predicted_pts_p50,predicted_pts_p90,pts_volatility_spread,vorp_points,target_price_500,target_price_1000,clearing_price_1000,clearing_price_500,target_flags,prezzo_fair_1000,prezzo_fair_500,surplus_value_cr
Kaba,C,M;C,LEC,1,0.2,6.0,0.5,0.0,0.0,0.0,2,3.0,5.815,5.763,5.823,5.763,0.045,-0.025,0.395,0.0,0.0,0.089,0.0,3.0,0.684,0.359,0.096,0.04,0.096,1.008,0.9201,1.029,261,6,1,1.0,0,0,0,False,0.0,0.393,0.4623,32.9,112.1,202.5,169.6,0.0,1,2,2,1,floor_qi,2,1,0
Sportiello,P,Por,ATA,1,0.1,6.0,0.5,0.0,0.0,0.0,1,11.0,5.773,4.678,6.045,4.8,0.236,-0.0155,0.404,0.0,0.0,0.051,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,1.0354,2.298,169,4,1,0.957,0,2,0,False,0.0,0.3914,0.457,25.1,95.4,181.2,156.1,0.0,1,1,1,1,floor_qi;clearing_observed(asta_xlsx),1,1,0
Fortini,D,E,TOR,6,1.2,6.0,0.5,0.0,0.0,0.0,12,1.0,5.96,5.96,5.96,5.96,0.0,,0.316,0.0,0.0,0.0,0.0,1.0,0.229,0.463,0.042,0.085,0.042,1.475,0.9571,1.436,156,5,1,0.907,1,1,93,True,0.5,0.391,0.4526,54.1,150.6,209.2,155.1,0.0,6,12,2,1,thin_prior_sample_no_fade;clearing_observed(historical),12,6,10
Cabal,D,B;Ds;E,JUV,1,0.4,6.0,0.5,0.0,0.0,0.0,4,4.0,6.05,6.307,5.995,6.047,0.198,0.066,0.283,0.0,0.0,0.316,0.0,4.0,0.656,0.346,0.056,0.047,0.056,0.778,1.0076,1.992,470,10,1,1.0,0,2,0,False,0.0,0.3902,0.4591,37.3,97.9,199.9,162.6,0.0,1,4,1,1,floor_qi;clearing_observed(asta_xlsx),4,1,3
Dembelè A.,D,Dd;E,LEC,1,0.2,6.0,0.5,0.0,0.0,0.0,2,1.0,5.0,5.0,5.0,5.0,0.0,,0.026,,,,,1.0,0.379,0.109,0.092,0.027,0.092,1.22,0.9201,1.029,14,2,0,0.054,0,1,0,False,0.0,0.3899,0.3931,29.8,95.6,188.0,158.2,0.0,1,2,2,1,floor_qi,2,1,0
Zhegrova,C,W,JUV,6,1.7,6.0,0.5,0.0,0.0,0.0,17,1.0,5.96,5.96,5.96,5.96,0.0,,0.316,0.0,0.0,0.083,0.0,1.0,0.761,1.026,0.208,0.28,0.208,5.182,1.0076,1.992,330,10,1,1.0,0,1,21,False,0.0,0.3891,0.4578,34.3,108.1,204.8,170.5,0.0,6,17,76,38,thin_prior_sample_no_fade;clearing_observed(asta_xlsx),17,6,-59
Njie,C,W;A,FIO,4,2.8,6.0,0.5,0.0,0.0,0.0,28,2.0,5.867,6.08,5.9,6.045,0.1,,0.25,,,,,2.0,1.219,0.361,0.351,0.104,0.351,2.01,1.0124,2.045,221,7,1,1.0,0,0,0,False,0.0,0.3884,0.4569,32.4,111.0,206.5,174.1,0.0,4,28,4,2,thin_prior_sample_no_fade;clearing_observed(historical),28,4,24
Oyono A.,D,Dd;E,FRO,6,1.0,6.0,0.5,0.0,0.0,0.0,10,1.0,5.82,5.75,5.82,5.75,0.0,,0.368,0.0,0.071,0.286,0.0,1.0,0.242,1.117,0.018,0.084,0.018,0.302,0.9827,1.718,168,2,1,0.953,1,1,113,True,0.5,0.388,0.4527,60.6,160.0,202.8,142.2,0.0,6,10,2,1,no_prior_data;clearing_observed(historical),10,6,8
Bertola,D,Dd;Ds;Dc,UDI,4,1.0,6.0,0.5,0.0,0.0,0.0,10,3.0,4.013,4.003,4.12,4.113,2.925,-0.32,0.342,0.0,0.04,0.12,0.0,1.0,0.996,1.549,0.051,0.079,0.051,0.666,0.965,1.523,36,3,0,0.14,0,2,22,False,0.0,0.3866,0.3949,30.1,100.2,189.9,159.8,0.0,4,10,3,2,fade(0.97);clearing_observed(asta_xlsx),10,4,7
Estupinan,D,Ds;E,MIL,3,1.3,6.0,0.5,0.0,0.0,0.0,13,1.0,5.64,5.71,5.64,5.71,0.0,,0.368,0.071,0.071,0.357,0.0,1.0,0.477,1.581,0.041,0.136,0.041,0.775,1.0464,2.419,283,9,1,1.0,1,1,69,True,0.5,0.385,0.453,59.6,133.2,196.1,136.5,0.0,3,12,28,14,thin_prior_sample_no_fade;team_discount(MIL);clearing_observed(asta_xlsx),12,3,-16
Molina N.,D,E,ROM,18,7.8,6.0,0.5,0.0,0.0,0.0,78,3.0,2.987,3.243,3.96,4.287,2.801,-2.92,0.789,0.15,0.117,0.1,0.0,1.0,0.045,0.108,,,,,1.0268,2.203,83,5,0,0.323,0,2,30,False,0.0,0.3845,0.4041,71.8,183.6,230.3,158.5,21.7,18,78,52,26,no_prior_data;clearing_observed(historical),78,18,26
Otoa,D,Dc,GEN,2,0.5,6.0,0.5,0.0,0.0,0.0,5,2.0,5.457,5.123,5.385,5.01,0.215,,0.171,,,,,1.0,0.084,0.0,0.009,0.0,0.009,0.326,0.9593,1.46,158,8,0,0.614,0,2,24,False,0.0,0.3831,0.422,30.1,95.6,188.7,158.6,0.0,2,5,5,2,floor_qi,5,2,0
Candè,D,Ds;Dc,SAS,3,0.7,6.0,0.5,0.0,0.0,0.0,7,2.0,5.713,5.647,5.725,5.69,0.035,,0.329,0.059,0.0,0.235,0.0,2.0,0.388,0.408,0.044,0.036,0.044,0.353,0.9714,1.594,255,3,1,1.0,0,0,0,False,0.0,0.3816,0.4489,34.9,93.8,180.4,145.5,0.0,3,7,7,3,thin_prior_sample_no_fade,7,3,0
Basic,C,M;C,VEN,6,1.9,6.0,0.5,0.0,0.0,0.0,19,5.0,3.968,4.108,4.696,4.77,2.355,-0.552,0.467,0.042,0.07,0.141,0.0,3.0,1.031,1.071,0.083,0.085,0.083,1.405,0.9494,1.351,114,7,0,0.443,2,0,150,True,1.0,0.38,0.407,62.7,143.8,208.3,145.6,0.0,6,19,4,2,thin_prior_sample_no_fade;clearing_observed(historical),19,6,15
Aboukhlal,C,W;A,TOR,3,0.5,6.0,0.5,0.0,0.0,0.0,5,1.0,5.77,5.64,5.77,5.64,0.0,,0.289,0.0,0.0,0.364,0.0,1.0,0.412,0.598,0.074,0.108,0.074,1.26,0.9571,1.436,410,10,1,1.0,0,2,26,False,0.0,0.3792,0.4461,30.2,92.2,183.6,153.4,0.0,3,5,5,3,thin_prior_sample_no_fade,5,3,0
Milik,A,Pc,JUV,4,1.0,6.0,0.5,0.0,0.0,0.0,10,9.0,4.0,4.077,4.731,5.438,2.53,-0.3218,0.511,0.355,0.032,0.113,0.0,2.0,6.009,2.784,0.464,0.205,0.436,2.902,1.0076,1.992,670,11,1,1.0,0,2,0,False,0.0,0.378,0.4447,48.3,120.8,223.6,175.3,0.0,4,10,2,1,thin_prior_sample_no_fade;clearing_observed(historical),10,4,8
Dragusin,D,Dc,FIO,7,2.0,6.0,0.5,0.0,0.0,0.0,20,3.0,4.962,5.115,3.943,4.04,2.793,3.055,0.487,0.054,0.027,0.081,0.0,1.0,1.219,0.91,0.064,0.048,0.064,0.895,1.0124,2.045,327,4,1,1.0,2,0,180,True,1.0,0.3772,0.4438,47.7,130.4,198.6,150.9,0.0,7,20,13,6,no_prior_data;clearing_observed(historical),20,7,7
Padelli,P,Por,UDI,1,0.1,6.0,0.5,0.0,0.0,0.0,1,11.0,5.292,4.792,3.844,2.977,2.918,0.0358,0.177,0.0,0.0,0.086,0.0,,,,,,,,0.965,1.523,93,4,1,0.662,0,2,0,False,0.0,0.3751,0.4164,22.2,87.3,183.7,161.5,0.0,1,1,2,1,floor_qi;clearing_observed(historical),1,1,-1
Camarda,A,Pc,MIL,4,2.0,6.0,0.5,0.0,0.0,0.0,20,3.0,4.808,4.793,3.863,3.853,2.734,2.835,0.316,0.056,0.0,0.056,0.0,2.0,1.759,0.434,0.302,0.09,0.223,2.497,1.0464,2.419,138,5,1,0.837,0,2,0,False,0.0,0.3743,0.428,27.1,88.3,182.1,155.0,0.0,4,18,16,8,thin_prior_sample_no_fade;team_discount(MIL);clearing_observed(asta_xlsx),18,4,2
Rugani,D,Dc,JUV,1,0.3,6.0,0.5,0.0,0.0,0.0,3,11.0,3.863,3.857,5.421,5.515,1.739,-0.2532,0.334,0.087,0.019,0.173,0.0,3.0,1.068,0.122,0.132,0.014,0.132,0.501,1.0076,1.992,89,5,0,0.346,0,2,0,False,0.0,0.3707,0.391,44.0,107.0,184.8,140.8,0.0,1,3,3,1,floor_qi,3,1,0
Sagrado,D,Dd;E,VEN,2,0.4,6.0,0.5,0.0,0.0,0.0,4,1.0,5.5,5.33,5.5,5.33,0.0,,0.079,,,,,,,,,,,,0.9494,1.351,194,7,0,0.7,0,2,9,False,0.0,0.3695,0.4129,30.1,95.6,187.9,157.8,0.0,2,4,4,2,floor_qi,4,2,0
Stankovic F.,P,Por,VEN,6,1.1,6.0,0.5,0.0,0.0,0.0,11,2.0,4.4,3.487,3.3,2.615,3.3,,0.395,0.0,0.0,0.067,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.9494,1.351,81,2,1,0.615,2,0,180,True,1.0,0.3677,0.4051,47.4,146.8,195.3,147.9,1.6,6,11,4,2,goalkeeper_no_fade;clearing_observed(historical),11,6,7
Abankwah,D,Dd;Dc,UDI,2,1.0,6.0,0.5,0.0,0.0,0.0,10,3.0,4.208,4.083,4.25,4.167,3.007,-0.125,0.039,,,,,1.0,0.115,0.0,,,,,0.965,1.523,0,0,0,0.0,2,0,180,True,1.0,0.3667,0.3667,63.0,170.6,200.4,137.4,8.7,2,10,4,2,floor_qi;clearing_observed(historical),10,2,6
Forson O.,C,W;T,MON,2,0.1,6.0,0.5,0.0,0.0,0.0,1,1.0,5.67,5.67,5.67,5.67,0.0,,0.158,,,,,1.0,0.428,0.322,,,,,0.9337,1.178,315,5,1,1.0,0,2,31,False,0.0,0.3646,0.4289,33.8,106.8,198.7,164.9,0.0,2,1,1,2,floor_qi,1,2,0
Cremaschi,C,E;C,PAR,2,0.3,6.0,0.5,0.0,0.0,0.0,3,1.0,6.0,6.0,6.0,6.0,0.0,,0.026,,,,,1.0,0.018,0.013,,,,,0.9545,1.408,226,4,1,1.0,0,2,40,False,0.0,0.3608,0.4245,37.3,107.2,202.7,165.4,0.0,2,3,3,2,floor_qi,3,2,0
Terzic,D,Ds;E,FRO,4,0.8,6.0,0.5,0.0,0.0,0.0,8,3.0,5.015,5.128,4.01,4.093,2.836,3.015,0.316,0.059,0.059,0.118,0.0,1.0,0.703,1.813,0.07,0.181,0.07,0.898,0.9827,1.718,236,13,1,1.0,0,2,30,False,0.0,0.3607,0.4243,32.2,89.4,190.8,158.6,0.0,4,8,2,1,no_prior_data;clearing_observed(historical),8,4,6
Chalobah T.,D,Dd;Dc,COM,10,3.2,6.0,0.5,0.0,0.0,0.0,32,1.0,6.0,6.0,6.0,6.0,0.0,,0.026,,,,,,,,,,,,1.0068,1.982,299,10,1,1.0,2,0,180,True,1.0,0.3597,0.4232,68.4,161.9,212.5,144.1,0.0,10,32,30,15,no_prior_data;clearing_observed(historical),32,10,2
Fofana Sa.,C,M;C,LEC,1,0.1,6.0,0.5,0.0,0.0,0.0,1,1.0,5.5,5.5,5.5,5.5,0.0,,0.053,,,,,1.0,0.101,0.181,,,,,0.9201,1.029,568,10,1,1.0,0,2,0,False,0.0,0.3495,0.4112,30.4,103.9,197.5,167.1,0.0,1,1,1,1,floor_qi,1,1,0
Ebosse,D,Ds;Dc,UDI,3,0.5,6.0,0.5,0.0,0.0,0.0,5,4.0,4.708,4.61,4.223,4.127,2.439,0.583,0.281,0.0,0.033,0.233,0.0,2.0,0.061,0.272,0.005,0.022,0.005,0.16,0.965,1.523,380,6,1,1.0,1,1,113,True,0.5,0.3453,0.4062,45.5,138.5,193.4,147.9,0.0,3,5,2,1,thin_prior_sample_no_fade;clearing_observed(historical),5,3,3
Mandas,P,Por,LAZ,10,3.6,6.0,0.5,0.0,0.0,0.0,36,3.0,3.135,2.75,4.177,3.667,2.953,-3.125,0.224,,,,,2.0,,0.0,0.0,0.0,0.0,0.0,0.9953,1.856,5,2,0,0.019,2,0,180,True,1.0,0.3451,0.3461,63.0,170.6,200.2,137.2,25.4,10,36,1,1,goalkeeper_no_fade;clearing_observed(asta_xlsx),36,10,35
Christensen O.,P,Por,FIO,1,0.1,6.0,0.5,0.0,0.0,0.0,1,3.0,4.667,3.792,4.333,3.25,3.171,1.0,0.066,,,,,,,,,,,,1.0124,2.045,95,5,1,0.669,0,2,0,False,0.0,0.3446,0.383,23.4,87.3,185.5,162.1,0.0,1,1,2,1,floor_qi;clearing_observed(historical),1,1,-1
Gonzalez N.,C,W;A,JUV,12,4.5,6.0,0.5,0.0,0.0,0.0,45,5.0,3.038,3.357,4.946,5.548,2.477,-1.285,0.704,0.262,0.093,0.084,0.056,2.0,1.763,1.468,0.091,0.075,0.091,0.794,1.0076,1.992,203,10,1,1.0,0,2,33,False,0.0,0.3443,0.4051,54.4,152.5,234.4,180.0,0.0,12,45,45,12,thin_prior_sample_no_fade,45,12,0
Theate,D,Ds;Dc,BOL,8,2.0,6.0,0.5,0.0,0.0,0.0,20,2.0,1.973,2.017,2.96,3.025,2.96,,0.789,0.067,0.033,0.2,0.0,,,,,,,,1.004,1.952,104,9,0,0.404,0,1,0,False,0.0,0.3408,0.3628,54.9,138.5,197.2,142.3,0.0,8,20,20,8,no_prior_data,20,8,0
Hainaut,D,Dd;E,VEN,4,1.2,6.0,0.5,0.0,0.0,0.0,12,2.0,1.953,2.023,2.93,3.035,2.93,,0.579,0.091,0.0,0.136,0.0,1.0,0.854,0.766,0.065,0.058,0.065,0.456,0.9494,1.351,45,5,0,0.175,2,0,175,True,1.0,0.3391,0.3482,68.2,157.6,205.8,137.6,0.0,4,12,4,2,thin_prior_sample_no_fade;clearing_observed(historical),12,4,8
Ndiaye,D,Dc,PAR,2,0.8,6.0,0.5,0.0,0.0,0.0,8,2.0,3.727,3.573,2.795,2.68,2.795,,0.289,0.0,0.0,0.273,0.0,1.0,0.36,0.023,0.041,0.003,0.041,0.687,0.9545,1.408,103,2,1,0.701,1,1,90,True,0.5,0.3376,0.3773,52.5,144.6,190.7,138.2,0.0,2,8,2,1,floor_qi;clearing_observed(historical),8,2,6
Goldaniga,D,Dc,COM,1,0.1,6.0,0.5,0.0,0.0,0.0,1,10.0,2.885,2.833,5.128,5.107,1.715,-0.3047,0.509,0.046,0.011,0.305,0.0,2.0,1.792,0.221,0.076,0.011,0.076,0.407,1.0068,1.982,115,2,1,0.747,0,2,0,False,0.0,0.3371,0.3796,36.1,94.0,179.9,143.8,0.0,1,1,1,1,floor_qi,1,1,0
Gollini,P,Por,ROM,1,0.1,6.0,0.5,0.0,0.0,0.0,1,10.0,2.953,2.167,5.48,4.511,1.829,-0.3549,0.398,0.0,0.0,0.058,0.0,3.0,0.005,0.0,0.001,0.0,0.001,0.048,1.0268,2.203,126,11,0,0.49,0,2,0,False,0.0,0.3323,0.3587,31.9,92.6,183.0,151.1,0.0,1,1,1,1,floor_qi;clearing_observed(asta_xlsx),1,1,0
Ilkhan,C,M;C,TOR,4,0.8,6.0,0.5,0.0,0.0,0.0,8,3.0,3.882,3.958,3.883,3.917,2.746,-0.005,0.303,0.059,0.118,0.118,0.0,2.0,1.59,0.653,0.178,0.097,0.178,1.186,0.9571,1.436,265,4,1,1.0,0,2,23,False,0.0,0.331,0.3894,41.6,108.8,206.7,165.1,0.0,4,8,2,1,thin_prior_sample_no_fade;clearing_observed(historical),8,4,6
Vergara,C,W;T,NAP,10,3.5,6.0,0.5,0.0,0.0,0.0,35,2.0,4.167,4.333,3.125,3.25,3.125,,0.211,,,,,1.0,0.706,0.835,0.102,0.12,0.102,1.44,1.0241,2.173,305,8,1,1.0,0,2,23,False,0.0,0.3271,0.3848,30.4,103.9,196.4,166.0,0.0,8,30,17,8,thin_prior_sample_no_fade;team_discount(NAP);clearing_observed(historical),30,8,13
Raimondo,A,Pc,FRO,9,2.7,6.0,0.5,0.0,0.0,0.0,27,4.0,3.0,3.0,1.5,1.5,2.598,1.8,0.026,,,,,1.0,0.511,0.106,,,,,0.9827,1.718,0,0,0,0.0,2,0,179,True,1.0,0.3222,0.3222,60.8,168.7,199.9,139.1,36.3,9,27,3,1,no_prior_data;clearing_observed(historical),27,9,24
Di Gennaro,P,Por,INT,1,0.1,6.0,0.5,0.0,0.0,0.0,1,3.0,4.083,3.583,4.167,3.833,2.953,-0.25,0.026,,,,,,,,,,,,1.1,3.009,188,4,1,1.0,0,2,0,False,0.0,0.3048,0.3586,23.4,87.3,185.5,162.1,0.0,1,1,2,1,floor_qi;clearing_observed(historical),1,1,-1
Maye,D,Ds;Dc,MON,1,0.1,6.0,0.5,0.0,0.0,0.0,1,8.0,2.773,2.822,4.946,4.928,1.872,-0.4789,0.391,0.032,0.032,0.211,0.0,,,,,,,,0.9337,1.178,164,10,1,0.938,0,1,0,False,0.0,0.3021,0.3516,33.7,94.0,182.7,149.0,0.0,1,1,1,1,floor_qi,1,1,0
Douglas Luiz,C,C,JUV,4,1.5,6.0,0.5,0.0,0.0,0.0,15,2.0,1.957,1.933,2.935,2.9,2.935,,0.395,0.0,0.0,0.133,0.0,1.0,0.687,1.157,0.126,0.212,0.126,1.466,1.0076,1.992,167,9,0,0.649,2,0,169,True,1.0,0.2968,0.3288,50.0,159.1,206.0,156.0,0.0,4,15,8,4,thin_prior_sample_no_fade;clearing_observed(historical),15,4,7
