player,role,role_mantra,team,Prezzo_Consigliato_Cr,NN_FV_Atteso,NN_MV_Atteso,NN_Rischio_Std,Prob_Bonus_Ge_8_%,Prob_Picco_Ge_10_%,Clean_Sheet_%,FVM_1000,n_stagioni,mv_media_3y,mv_storica,mv_std,mv_trend,availability,gol_per_pg,ass_per_pg,amm_per_pg,rig_per_pg,n_seasons_us,xg_media_3y,xa_media_3y,xg_per90,xa_per90,npxg_per90,shots_per90,offensive_index,gf_avg_3y,giorni_infortunio_3y,n_infortuni_3y,infortunio_grave,malus_infortuni,score_composito,score_composito_base,predicted_pts_p10,predicted_pts_p50,predicted_pts_p90,pts_volatility_spread,vorp_points,prezzo_fair_1000,prezzo_fair_500,surplus_value_cr
Paz N.,C,T;A,COM,29,24.5,6.0,0.5,0.0,0.0,0.0,245,2.0,6.373,6.375,0.005,,0.895,0.265,0.176,0.162,0.0,,,,,,,,1.0068,1.982,23,3,0,0.089,0.5656,0.5733,189.1,286.1,319.3,130.2,172.7,248,121,219
Calhanoglu,C,M;C,INT,28,24.3,6.0,0.5,0.0,0.0,0.0,243,9.0,6.452,6.304,0.166,0.0493,0.825,0.209,0.202,0.174,0.082,4.0,5.708,4.864,0.233,0.202,0.075,2.219,1.1,3.009,216,17,0,0.7,0.555,0.6201,169.1,240.8,251.1,82.0,127.4,183,90,155
Da Cunha,C,C;T,COM,18,8.7,6.0,0.5,0.0,0.0,0.0,87,2.0,6.26,6.22,0.12,,0.921,0.129,0.086,0.114,0.057,,,,,,,,1.0068,1.982,0,0,0,0.0,0.5342,0.5342,189.1,285.9,287.0,97.9,172.5,248,121,230
Ekkelenkamp,C,C;T,UDI,12,5.7,6.0,0.5,0.0,0.0,0.0,57,2.0,6.023,6.01,0.04,,0.842,0.125,0.078,0.047,0.0,2.0,4.198,2.095,0.172,0.092,0.172,1.289,0.965,1.523,73,9,0,0.284,0.5295,0.5531,175.6,175.6,175.6,0.0,62.2,90,44,78
Modric,C,M;C,MIL,12,4.5,6.0,0.5,0.0,0.0,0.0,45,1.0,6.45,6.45,0.0,,0.868,0.061,0.091,0.121,0.0,,,,,,,,1.0464,2.419,25,4,0,0.097,0.5216,0.5293,146.6,146.6,181.3,34.7,33.2,48,24,36
Karlstrom,C,M;C,UDI,7,2.0,6.0,0.5,0.0,0.0,0.0,20,2.0,5.923,5.905,0.055,,0.961,0.014,0.027,0.205,0.0,,,,,,,,0.965,1.523,8,2,0,0.031,0.5168,0.5192,112.4,139.7,197.5,85.1,26.3,39,19,32
Samardzic,C,C;T,ATA,13,4.4,6.0,0.5,0.0,0.0,0.0,44,5.0,6.025,6.074,0.084,-0.034,0.668,0.134,0.071,0.063,0.008,4.0,2.658,3.862,0.149,0.218,0.138,2.333,1.0354,2.298,0,0,0,0.0,0.5154,0.5154,111.2,119.9,135.1,23.9,6.5,10,6,-3
Ederson D.S.,C,M;C,ATA,12,4.6,6.0,0.5,0.0,0.0,0.0,46,1.0,6.25,6.25,0.0,,0.789,0.067,0.033,0.1,0.033,,,,,,,,1.0354,2.298,0,0,0,0.0,0.5144,0.5144,138.6,138.9,168.8,30.2,25.5,37,19,25
Cristante,C,M;C,ROM,9,2.9,6.0,0.5,0.0,0.0,0.0,29,11.0,6.14,5.926,0.249,0.0506,0.778,0.093,0.059,0.211,0.0,4.0,2.717,2.192,0.092,0.069,0.086,1.23,1.0268,2.203,69,5,0,0.268,0.5105,0.5319,98.0,116.9,153.0,55.0,3.5,6,3,-3
Rodriguez Je.,C,W;A,COM,11,3.1,6.0,0.5,0.0,0.0,0.0,31,1.0,6.25,6.25,0.0,,0.737,0.071,0.286,0.107,0.0,1.0,1.198,0.0,0.081,0.0,0.081,0.203,1.0068,1.982,19,2,0,0.074,0.5102,0.5159,98.0,116.9,154.0,56.0,3.5,6,3,-5
Barella,C,C,INT,18,8.1,6.0,0.5,0.0,0.0,0.0,81,10.0,6.29,6.216,0.165,0.0401,0.876,0.084,0.147,0.237,0.009,,,,,,,,1.1,3.009,68,8,0,0.264,0.5076,0.5285,189.1,254.2,259.9,70.8,140.8,202,99,184
Piotrowski,C,M;C,UDI,6,1.5,6.0,0.5,0.0,0.0,0.0,15,1.0,5.88,5.88,0.0,,0.789,0.033,0.0,0.067,0.0,1.0,3.205,0.778,0.169,0.041,0.169,1.904,0.965,1.523,73,5,0,0.284,0.5053,0.5278,91.5,117.1,152.5,61.0,3.7,6,4,0
Baturina,C,T,COM,20,10.5,6.0,0.5,0.0,0.0,0.0,105,1.0,6.3,6.3,0.0,,0.658,0.24,0.12,0.0,0.0,,,,,,,,1.0068,1.982,20,4,0,0.078,0.5052,0.5112,159.2,218.4,234.4,75.2,105.0,151,74,131
Brescianini,C,C;T,FIO,3,1.1,6.0,0.5,0.0,0.0,0.0,11,3.0,6.043,6.063,0.068,-0.06,0.667,0.132,0.053,0.053,0.0,3.0,2.98,1.534,0.184,0.096,0.184,1.339,1.0124,2.045,54,7,0,0.21,0.5049,0.5213,85.9,110.0,118.5,32.6,0.0,1,1,-2
Malen,A,Pc,ROM,38,45.0,6.0,0.5,0.0,0.0,0.0,450,1.0,6.72,6.72,0.0,,0.474,0.778,0.111,0.056,0.167,,,,,,,,1.0268,2.203,44,6,0,0.171,0.582,0.5973,112.1,162.3,162.3,50.2,56.4,82,40,44
